source,target,weight,source_label,target_label
UCHTGCgY2l-DQJIvlA_cpa_Q,UCZLG9qH0tUjNhEGFIUt0CYw,1,@virgiliogarcia3039,@SoniaMarroquin-y6e
UCHTGCgY2l-DQJIvlA_cpa_Q,UCbYoNG5J3Au5BqtbXogfEFw,1,@virgiliogarcia3039,@Luis-gn3fj
UCHTGCgY2l-DQJIvlA_cpa_Q,UCcfdg8crmMJwEuLUsAhV7yg,1,@virgiliogarcia3039,@RolandoRaguay
UCHTGCgY2l-DQJIvlA_cpa_Q,UCf5lnNZF7Qrtli9v4N_23WQ,1,@virgiliogarcia3039,@CarlosCortez-v5r
UCHTGCgY2l-DQJIvlA_cpa_Q,UCfM3nrxtTQMY5jFx1v1J4Gg,1,@virgiliogarcia3039,@edgarroldan5539
UCHTGCgY2l-DQJIvlA_cpa_Q,UCg3eIfd7BrsLEqS0BLkftHA,1,@virgiliogarcia3039,@ErmePérez-q4s
UCHTGCgY2l-DQJIvlA_cpa_Q,UCgQJgI9vu1FI2dnC9mrFthw,1,@virgiliogarcia3039,@srms70
UCHTGCgY2l-DQJIvlA_cpa_Q,UCgvw7xIdGFupzpt1Y_BFkEA,1,@virgiliogarcia3039,@fredygarcia9151
UCHTGCgY2l-DQJIvlA_cpa_Q,UCh5ESQvtzyHDhCA7XyekCFA,1,@virgiliogarcia3039,@andyB5280
UCHTGCgY2l-DQJIvlA_cpa_Q,UChZknRmJkeGeQk0-mQuhDOg,1,@virgiliogarcia3039,@OdilioRodríguez-c5w
UCHTGCgY2l-DQJIvlA_cpa_Q,UChep9kVb5gQmpodEEl10Xlg,1,@virgiliogarcia3039,@carlosaguilar-kz7ml
UCHTGCgY2l-DQJIvlA_cpa_Q,UChgkn5Jt5tWKYMoEOuCjz3Q,1,@virgiliogarcia3039,@pablochitay46
UCHTGCgY2l-DQJIvlA_cpa_Q,UChs3tU2BcKOT0CezykvAsGw,1,@virgiliogarcia3039,@byronpontaza
UCHTGCgY2l-DQJIvlA_cpa_Q,UCi1b_TRQfgO1Z9O2gNGGWNA,1,@virgiliogarcia3039,@davidisraelesquitsaquil
UCHTGCgY2l-DQJIvlA_cpa_Q,UCiGRBf2RNF0WRKhRVT7zFoA,1,@virgiliogarcia3039,@edwinavila4876
